N,lr,sr,set_n,KL,entropy
500,0.91,0.8,41,1.2553550756508116,4.843169536383043
500,0.91,0.8,41,0.13853308180093674,4.74903321016005
500,0.91,0.9,42,1.389452026109065,4.987732892667713
500,0.91,0.9,42,2.1260022174606465,4.9807669006395825
500,0.91,0.9,42,0.11419017379401913,4.7627864016541785
500,0.91,0.9,42,1.293262388309509,4.910749486853252
500,0.91,0.9,42,1.224510117111862,4.9223904041683895
500,0.91,0.9,42,0.4162398259230293,4.764445820645328
500,0.91,0.9,42,0.6409854825497955,4.730725871690353
500,0.91,0.9,42,0.04827827717176646,4.581021329625331
500,0.91,0.9,42,0.09688869189505162,4.644359689078536
500,0.91,0.9,42,1.0561547137627416,4.83860151425988
500,0.91,1.0,43,0.07094616243933083,4.588433555412255
500,0.91,1.0,43,1.2803545270443264,4.942624903522376
500,0.91,1.0,43,0.8781135816635425,4.873126492093488
500,0.91,1.0,43,0.15221445101048098,4.5596567214552675
500,0.91,1.0,43,0.5152808181592713,4.810798434786566
500,0.91,1.0,43,0.0030747919379608447,4.554525220416553
500,0.91,1.0,43,1.3738183637480814,4.9312538853499825
500,0.91,1.0,43,2.1030728699003305,4.9869651798934935
500,0.91,1.0,43,1.411306524014536,4.917729677531247
500,0.91,1.0,43,1.0489056380719997,4.9833471491915216
500,0.91,1.1,44,1.2128077052671462,4.9132069649532895
500,0.91,1.1,44,1.0046195997001668,4.893470269261949
500,0.91,1.1,44,0.7408735717723409,4.799773533555385
500,0.91,1.1,44,0.5480542517569047,4.8326456631363515
500,0.91,1.1,44,1.142648025657044,4.873141937054935
500,0.91,1.1,44,2.2919900745942523,5.006796851018228
500,0.91,1.1,44,0.9590755180670153,4.958147048231693
500,0.91,1.1,44,1.0825467683388368,4.9027362642757275
500,0.91,1.1,44,1.2683608316384567,4.852561770172613
500,0.91,1.1,44,1.2852827269184988,5.014074036245687
500,0.91,1.2,45,2.6603869995702656,5.057771827047955
500,0.91,1.2,45,0.11902645629604165,4.664226349381906
500,0.91,1.2,45,0.4895308677452149,4.807340812266491
500,0.91,1.2,45,0.22175472591020115,4.724372193590995
500,0.91,1.2,45,0.2200777171605351,4.775327303799331
500,0.91,1.2,45,1.5895376800898888,5.08707137194464
500,0.91,1.2,45,0.6961105560143805,4.886542401185192
500,0.91,1.2,45,2.625974636824374,5.106367172685837
500,0.91,1.2,45,0.4887931325371259,4.698546185951294
500,0.91,1.2,45,0.6774640890598296,4.800949781072001
500,0.9400000000000001,0.8,46,0.5526944961861061,4.799384086070085
500,0.9400000000000001,0.8,46,0.7291668572954582,4.802399302034081
500,0.9400000000000001,0.8,46,0.08061025214138284,4.575900439433664
500,0.9400000000000001,0.8,46,0.007660279654077769,4.509473133714111
500,0.9400000000000001,0.8,46,0.0007541391412116162,4.542283348088763
500,0.9400000000000001,0.8,46,0.09755599242055742,4.640491631009315
500,0.9400000000000001,0.8,46,0.5182825551106706,4.769518705089961
500,0.9400000000000001,0.8,46,0.06400471939806504,4.566724589777394
500,0.9400000000000001,0.8,46,2.588624884380254,5.00139083632653
